WorkerId,payment,date
A30VLAIIJIG5IS,2.4$,20/12/2021
A1T643M1P572AA,2.4$,20/12/2021
A2EED3HLTA96CP,1.2$,20/12/2021
A2B37SM2VYC8KG,2.4$,20/12/2021
A3P5LHY9SBPMM5,2.4$,20/12/2021
A306D5CYQHGU7P,1.2$,20/12/2021
A2TLN8489YGY81,1.2$,20/12/2021
ATIVK9XUANIUE,1.2$,20/12/2021
A2AKNTBRMYZ95S,2.4$,20/12/2021
A3398NZQPID9Z8,1.2$,20/12/2021
A2RDFEVMILBEDP,1.2$,20/12/2021
A3UPVRKUR2AQ0E,1.2$,20/12/2021
A1NAFXXC41I7NC,2.4$,20/12/2021
A3SJTDFJ03P5LJ,1.2$,20/12/2021
A3IE3EBIDHG7MV,2.4$,20/12/2021
A2ZE857ADAIQI2,2.4$,20/12/2021
A3P4SKOC7NIXZP,2.4$,20/12/2021
A3P4SKOC7NIXZP,2.4$,20/12/2021
AWM2QG8OM5FCG,2.4$,20/12/2021
AFFXVHHBUWW4D,2.4$,20/12/2021
A2P54BBM8C2T0C,2.4$,20/12/2021
A38NV0ZOMNF8MN,2.4$,20/12/2021
A1PHDT66U6IK4Q,2.4$,20/12/2021
A20SPH0DOU37TQ,1.2$,20/12/2021
A13OHV8TPRTDB9,2.4$,20/12/2021
A2SWQM5X54P1O5,2.4$,20/12/2021
A4JKUHL6IT5FZ,2.4$,20/12/2021
A2W3ZKEIFFH4AH,2.4$,20/12/2021
AEQAI1QN1YZG1,1.2$,20/12/2021
ARJ7XWSK0Y8FJ,2.4$,20/12/2021
A3DM34HQ35US2R,2.4$,20/12/2021
A2LQIPUZ8USGNS,2.4$,20/12/2021
A3524H23YF5DRX,2.4$,20/12/2021
A3MYPYBVHX7FQ2,2.4$,20/12/2021
A1CPY1HLCFTIL1,2.4$,20/12/2021
ACB7Y1J58NG7H,2.4$,20/12/2021
A1HK32MD7F0B7F,2.4$,20/12/2021
A4VTLJMJYGJ93,2.4$,20/12/2021
A3F7K8OL4G4W1J,1.2$,20/12/2021
A2OVX9UW5WANQE,2.4$,20/12/2021
A2ORU7IHVY9FE4,2.4$,20/12/2021
A222XCQ8SXJ3UL,1.2$,20/12/2021
A8R35AUWHX9HH,2.4$,20/12/2021
A14E0Y5HPALKZN,2.4$,20/12/2021
A30E3GDIK26R69,2.4$,20/12/2021
ANA8HLS4U28ZY,2.4$,20/12/2021
A3OW203LTCPUZ8,2.4$,20/12/2021
A282YZBNIRNEFG,2.4$,20/12/2021
A2973ZBMEZAUFZ,2.4$,20/12/2021
ALJ70B2J04YR7,2.4$,20/12/2021
A3UD7T1L80TCR3,2.4$,20/12/2021
A2BV125YV6CQG0,2.4$,20/12/2021
A3524H23YF5DRX,1.4$,23/12/2021
A3MYTEE8WSEQ2Z,2.8$,23/12/2021
A221PNPQRV4FC4,2.8$,23/12/2021
AIA7RZSAONU5M,2.8$,23/12/2021
A1PF1T680LSXQ5,1.4$,23/12/2021
A1SNC8UL8YFRH5,2.8$,23/12/2021
A3LTGXX5HIYDBM,1.4$,23/12/2021
ATV173DGAIZP9,2.8$,23/12/2021
A25CZJEFKXF4UV,2.8$,23/12/2021
ADXHWQLUQBK77,2.8$,23/12/2021
A20N1NK5X5S88F,1.4$,23/12/2021
A3BSK47WPPE876,2.8$,23/12/2021
A320QA9HJFUOZO,2.8$,23/12/2021
A2907V9QMK6SN4,2.8$,23/12/2021
A2196PMIF2YORD,1.4$,23/12/2021
APVJEN2541WFB,2.8$,23/12/2021
A1ZV8VUVP2L1EZ,2.8$,23/12/2021
A1T0ND039EWAVV,2.8$,23/12/2021
A3OHYXTHW11HS7,1.4$,23/12/2021
A133TS2HE2B2T1,2.8$,23/12/2021
A2FHJCRBRP7VH4,2.8$,23/12/2021
A1BIJGB7XA0GME,2.8$,23/12/2021
A1NRWXWPCAXDYP,2.8$,23/12/2021
A2UY210CTJXB0K,2.8$,23/12/2021
A23DIRTLAL5RA6,1.4$,23/12/2021
A27PVIL93ZMY46,2.8$,23/12/2021
A2VFEDAK5C1E1O,2.8$,23/12/2021
A157L6Z8QU3SDE,1.4$,23/12/2021
A3IF13XHP5UPO2,2.8$,23/12/2021
A2VR9O234UCT9T,2.8$,23/12/2021
A1DD23J1WBGQUU,2.8$,23/12/2021
A1NIKHUA79SWGD,2.8$,23/12/2021
AD1FDB9A61LMS,2.8$,23/12/2021
A3FG5J8A7YDVRN,1.4$,23/12/2021
A1NQOR4RQJJDMW,2.8$,23/12/2021
A1XQOZV8LQDM22,2.8$,23/12/2021
A2G43KS55YGYQE,2.8$,23/12/2021
A49WTQG4MBT9Z,2.8$,23/12/2021
A1DCG37N0Y8BN0,2.8$,23/12/2021
A7EP5KKL8YQPX,1.4$,23/12/2021
A30IQQE7F198JV,2.8$,23/12/2021
AKP66RIZ3LQVX,1.4$,23/12/2021
A143XRCI1YXAFE,1.4$,23/12/2021
A21STU4Z97J2Z6,2.8$,23/12/2021
A2AUBUDECDFIBS,2.8$,23/12/2021
A3K9GTQBOI7O5A,1.4$,23/12/2021
A1VWLIXBS4WDOD,1.4$,23/12/2021
AKZUP3VY594E8,2.8$,23/12/2021
A3POCFQJ1R5HSM,2.8$,23/12/2021
A3RR85PK3AV9TU,2.8$,23/12/2021
A3HOBJ4PJUOCUN,2.8$,23/12/2021
A2CWA5VQZ6IWMQ,2.8$,23/12/2021
AIHHRINW9IN1I,2.8$,23/12/2021
A2WZ71TT9AJPV,1.4$,23/12/2021
A34Q9JGU37OQJM,1.4$,23/12/2021
AS834Q2XXOEBP,1.4$,23/12/2021
ACSKECAUUHJQC,1.4$,23/12/2021
A173XBIUVI8WAW,2.8$,23/12/2021
A1KUWYYY2YU0CI,2.8$,23/12/2021
AU5RW3OQBKMU7,1.4$,23/12/2021
AYHK8DTZONHKC,2.8$,23/12/2021
A1YSYI926BBOHW,2.8$,23/12/2021
A2P8V0ILJCT4HO,2.8$,23/12/2021
A3QXY8LOG924BF,2.8$,23/12/2021
A3L0DCUXI7X3A9,2.8$,23/12/2021
A9S2WOGQ2ZOO1,2.8$,23/12/2021
A2U1JU3IDBQXEA,2.8$,23/12/2021
A87PV9R9JDDYK,2.8$,23/12/2021
A1PTH9KTRO06EG,1.4$,23/12/2021
A2T6PC4Z0BCZX,2.8$,23/12/2021
AGJLUYRQKL1I4,2.8$,23/12/2021
A12MAZG120PJOG,1.4$,23/12/2021
A351T7YA1YGHCE,2.8$,23/12/2021
A1Z34G2MEZI5I2,2.8$,23/12/2021
A1B57W9Y3Q93OV,2.8$,23/12/2021
A1H5Q9HRH4RPZU,1.4$,23/12/2021
AAQREZOK13OV7,1.4$,23/12/2021
A2ZXAOOHUVU1YG,1.4$,23/12/2021
A1ANE1156DB9C8,2.8$,23/12/2021
A2FP41BSPG0Y4A,2.8$,23/12/2021
A1PBRKFHSF1OF8,1.4$,23/12/2021
AYVJ1AI4VLWU9,1.4$,23/12/2021
A1S2NQYJGZ0C5F,1.4$,23/12/2021
A3KN4T65BJFP32,1.4$,23/12/2021
A3OW203LTCPUZ8,1.4$,23/12/2021
A282YZBNIRNEFG,1.4$,23/12/2021
A2973ZBMEZAUFZ,1.4$,23/12/2021
ALJ70B2J04YR7,1.4$,23/12/2021
A3UD7T1L80TCR3,1.4$,23/12/2021
A3UPVRKUR2AQ0E,1.4$,23/12/2021
,,
A2SENAPNSXG9L,2.8$,25/12/2021
A2UJYLP86SD9S,2.8$,25/12/2021
ATVUZIFSWM4GH,2.8$,25/12/2021
AK3H5QRAROFGP,1.4$,25/12/2021
AUM86AFQTDSWT,2.8$,25/12/2021
A6U2C66WQ7QQN,2.8$,25/12/2021
AN7ED6JKQWVIP,2.8$,25/12/2021
A2YIB84VKYNKWD,2.8$,25/12/2021
AMI0SOF51O3FW,2.8$,25/12/2021
A1INL9RS5TI9QB,2.8$,25/12/2021
A2R2YHA96JX3DF,2.8$,25/12/2021
A3DAA9VH8T031A,2.8$,25/12/2021
A2KSAAQBU5R0F6,1.4$,25/12/2021
A1T52KG209ZJD,2.8$,25/12/2021
A3PEVWJ109QDEW,1.4$,25/12/2021
A2NA2OJT15COZY,2.8$,25/12/2021
A3P14W3LWF10U1,2.8$,25/12/2021
AEOVYZ83Q3GX4,2.8$,25/12/2021
A22KRF782ELLB0,2.8$,25/12/2021
A3HTZIL19ARQEO,1.4$,25/12/2021
A10HW8JXM17XLD,2.8$,25/12/2021
A2GO0EY5FW18AG,2.8$,25/12/2021
A3I6KVLRM43E8D,2.8$,25/12/2021
A12NO2MNOIREXA,2.8$,25/12/2021
AR3MFFPQ39IXF,2.8$,25/12/2021
A159LFRJ2JUSHD,2.8$,25/12/2021
A3QAL3X23LHJRV,2.8$,25/12/2021
A2QX2B50DM45E2,2.8$,25/12/2021
A36HIBTTWA6ZF8,2.8$,25/12/2021
A1GD5VPYDUBQ3I,2.8$,25/12/2021
A1M64R8HPYNNZA,2.8$,25/12/2021
A3GF0U18Q42H8T,2.8$,25/12/2021
A2XJ1V0GGFO9GQ,2.8$,25/12/2021
A3S300T3IVQ2GC,2.8$,25/12/2021
A1N0I1Z43ZPC4U,2.8$,25/12/2021
A1N8TKTLXV92QR,2.8$,25/12/2021
A2JWK6KUGICE9H,2.8$,25/12/2021
AMBZ9DFYIWBE0,2.8$,25/12/2021
A1ZLLYRW6GIVC7,2.8$,25/12/2021
ADUR1VFO25OJL,2.8$,25/12/2021
AZNYEG8EWBHMD,2.8$,25/12/2021
A3DVQYEQDOCYWC,2.8$,25/12/2021
AJ4PH5TH4ZGIA,2.8$,25/12/2021
AEP1JNGPW3VP2,2.8$,25/12/2021
A3R3UB4E8U9J5O,2.8$,25/12/2021
A1CH3TODZNQCES,2.8$,25/12/2021
APMCWFS4WEVN4,2.8$,25/12/2021
A279H5BYP4LYX0,2.8$,25/12/2021
A3AIRKDB2DMC7U,2.8$,25/12/2021
A2GUOQ5CY5F1NZ,1.4$,25/12/2021
A3W0HQHLD5XTS7,2.8$,25/12/2021
A3LUB4YOALD32J,2.8$,25/12/2021
A3PIULR8DZOSUI,2.8$,25/12/2021
A1PPASWLWVUSRI,2.8$,25/12/2021
AYU9TIS0PRNJ6,1.4$,25/12/2021
A85URORY8M8PY,2.8$,25/12/2021
AVHGZJNGKHRQJ,2.8$,25/12/2021
A3IOOW5SX3UDSG,2.8$,25/12/2021
A2C8EIWVU5KY9L,2.8$,25/12/2021
A1KMEBRRTN67LP,2.8$,25/12/2021
A4158R4Y06ZB4,2.8$,25/12/2021
A2T6PC4Z0BCZX,1.4$,25/12/2021
A3P5LHY9SBPMM5,1.4$,25/12/2021
A2U1JU3IDBQXEA,1.4$,25/12/2021
A9S2WOGQ2ZOO1,1.4$,25/12/2021
A3SF2NOSUEGIDF,1.4$,25/12/2021
A351T7YA1YGHCE,1.4$,25/12/2021
A351T7YA1YGHCE,1.4$,25/12/2021
A34OMRGRGD22T0,1.4$,25/12/2021
A2AT5B7RW4VXBX,1.4$,25/12/2021
A1RUBSQBBOJHPO,2.8$,25/12/2021
A31A2PFANDTFQ5,2.8$,25/12/2021
AZX9SQ6Q69LJ8,2.8$,25/12/2021
AJXIC6Q5EM76P,2.8$,25/12/2021
A1TO20GNODKZ3P,2.8$,25/12/2021
A2EBGIJB58YN47,2.8$,25/12/2021
A21DGLA28OHZD8,2.8$,25/12/2021
A2ML7ATI15HJO7,2.8$,25/12/2021
A1AP3M61EEPHC7,1.4$,25/12/2021
A1Z9S06VBW14ZQ,2.8$,25/12/2021
AZ69TBTDH7AZS,2.8$,25/12/2021
AKSJ3C5O3V9RB,2.8$,25/12/2021
A397HP5TSIF2LO,2.8$,25/12/2021
A3BU8UL4W258UU,2.8$,25/12/2021
ATJ92FYQX176Z,2.8$,25/12/2021
AFDUKDV0SYY6X,1.4$,25/12/2021
AZGPOH3HUID39,2.8$,25/12/2021
A3JF3IWCYAYQXB,2.8$,25/12/2021
A2VY37O5MYHB5B,2.8$,25/12/2021
AS4UT5OK9XFR9,2.8$,25/12/2021
A22JD162E9Z65S,2.8$,25/12/2021
A1E6ZLOJMMSX7B,2.8$,25/12/2021
AQ8TJLOZRYS2V,2.8$,25/12/2021
A3GM6577HMA0QB,1.4$,25/12/2021
A1L1OK7TKX3V3Q,2.8$,25/12/2021
A24Z3TFXQB0GDP,1.4$,25/12/2021
A1Q6VY3C3CEOA0,2.8$,25/12/2021
A3ENS1XT17ODR6,2.8$,25/12/2021
A2RNSGLLNOIQR5,2.8$,25/12/2021
A3Q5UW29XKGYJA,1.4$,25/12/2021
A3L4JI1S352HB8,2.8$,25/12/2021
A2JME2H8YSM0OZ,1.4$,25/12/2021
APW2AS6Y4CTXP,1.4$,25/12/2021
A1GRLZL4F72RBJ,2.8$,25/12/2021
A2KRPK3GQR0GA9,2.8$,25/12/2021
A3S8A6T8K3KAD2,2.8$,25/12/2021
A1Q56N80RJLQ7S,1.4$,25/12/2021
A3S3WYVCVWW8IZ,1.4$,25/12/2021
A2U481IF2121QP,2.8$,25/12/2021
