WorkerId,Filter Reason
ACB7Y1J58NG7H,condition_answer answer error
A1PCZC53UDJ93K,previous knowledge
A2YIB84VKYNKWD,previous knowledge
AV7UX8QQXABSK,condition_answer answer error
A19H6QRCGKBOUH,treatment answer error
AQ8TJLOZRYS2V,previous knowledge
A32D778QPHXZE3,treatment answer error
AZX9SQ6Q69LJ8,previous knowledge
A3M1QJLLNX5GQ4,treatment answer error
A1PPASWLWVUSRI,condition_answer answer error
A2WISYYLETZKPY,previous knowledge
A2P8V0ILJCT4HO,previous knowledge
A2EKCMS8IKV57N,treatment answer error
A1RUJ3ZTUX9MNO,treatment answer error
AUOIZS4VLAD09,previous knowledge
ATVUZIFSWM4GH,previous knowledge
A3KGOJE2AGS48K,treatment answer error
AEP1JNGPW3VP2,condition_answer answer error
A2KSAAQBU5R0F6,too quick
A3VEF4M5FIN7KH,treatment answer error
A3GWCILDIQLY6U,treatment answer error
A133TS2HE2B2T1,previous knowledge
AAQREZOK13OV7,treatment answer error
A3OW203LTCPUZ8,previous knowledge
AERUGBNS48Z4N,no links
A15Q32EH4FDPSW,previous knowledge
A3U582A2UQIFG6,treatment answer error
A2GLFK1F4WY69P,treatment answer error
A2VT4O0U9D9LT5,previous knowledge
A2OHIYZUK51CSS,treatment answer error
A2DTD3L38D7O28,previous knowledge
A3HC9T7XAIXCGI,condition_answer answer error
A3KN4T65BJFP32,condition_answer answer error
A18AXRWJT4CYWY,too quick
A2AUBUDECDFIBS,previous knowledge
A1WKF2VH7TV0H2,treatment answer error
AGJLUYRQKL1I4,previous knowledge
A13FMBRKCTB49K,previous knowledge
A2UY210CTJXB0K,treatment answer error
A3S3WYVCVWW8IZ,no links
AX9VPFP2JBFN4,treatment answer error
A282YZBNIRNEFG,treatment answer error
A129ZL26EECX0B,no date
A3IOOW5SX3UDSG,previous knowledge
A30IQQE7F198JV,treatment answer error
ADPNI115MW4RP,treatment answer error
A2VY37O5MYHB5B,previous knowledge
A2ML7ATI15HJO7,condition_answer answer error
A2Y9EMAU0CRFX9,previous knowledge
Cglezk5UVcbeR5hr,previous knowledge
A2196PMIF2YORD,no reason
A1NAFXXC41I7NC,previous knowledge
A2KZYZO3EGYSPM,previous knowledge
A26RK8FT4LF5P4,treatment answer error
A1PS4RHP4S0HMW,treatment answer error
A1PNQWE4UAI1P2,treatment answer error
A3KN4T65BAZ52,treatment answer error
A1V9OBE0Z38QXP,treatment answer error
A3UPVRKUR2AQ0E,treatment answer error
APW2AS6Y4CTXP,treatment answer error
ATIVK9XUANIUE,too quick
A2SNRDBLMGVCWX,previous knowledge
A3CMWYLWMENHLZ,too quick
A1AP3M61EEPHC7,previous knowledge
A7I7DO5TZMN2E,previous knowledge
A12MAZG120PJOG,treatment answer error
A2XJ1V0GGFO9GQ,previous knowledge
A3OZ8KF0HWSVWK,treatment answer error
AN7ED6JKQWVIP,previous knowledge
A2AQ003CRPEIB1,treatment answer error
A1LTR3CMCDUW2A,previous knowledge
A143XRCI1YXAFE,too quick
A2B37SM2VYC8KG,previous knowledge
AYVJ1AI4VLWU9,condition_answer answer error
A1NBPXNQ0VXZ2F,treatment answer error
AO28JYP6WNXLM,previous knowledge
A306D5CYQHGU7P,treatment answer error
A2UMBENYG1WPO9,treatment answer error
AFH1LAWEW6PJ0,treatment answer error
A1M64R8HPYNNZA,treatment answer error
A2ORU7IHVY9FE4,condition_answer answer error
A2U1JU3IDBQXEA,previous knowledge
AWM2QG8OM5FCG,previous knowledge
A4JKUHL6IT5FZ,previous knowledge
A3LYY2LD29AGO4,treatment answer error
A3IE3EBIDHG7MV,previous knowledge
A15RRF9FJUQQ1W,previous knowledge
A1N0I1Z43ZPC4U,condition_answer answer error
A2R2YHA96JX3DF,condition_answer answer error
A3QXY8LOG924BF,condition_answer answer error
AC5G82UYGO4SY,previous knowledge
ARDZF2HUW5HX3,previous knowledge
A30E3GDIK26R69,condition_answer answer error
A1VRQ82Q342D4Y,previous knowledge
A4VUQ6627RJX8,condition_answer answer error
: COPIEDAUESA970V41FM,previous knowledge
A2973ZBMEZAUFZ,previous knowledge
A90EYZLQM8O59,previous knowledge
A2TLN8489YGY81,no links
A26UIS59SY4NM6,no links
A3UHEV29RXVXUG,condition_answer answer error
APMCWFS4WEVN4,previous knowledge
A2RXHHCMLJHMX9,treatment answer error
A3398NZQPID9Z8,previous knowledge
AALJCRJFWLGZO,condition_answer answer error
adasd,treatment answer error
A3BSK47WPPE876,condition_answer answer error
A3PIULR8DZOSUI,condition_answer answer error
A38NIZJ99ER0YW,previous knowledge
AYU9TIS0PRNJ6,condition_answer answer error
AEZ1X2R844R9G,treatment answer error
ALXEJIAMNXVUA,previous knowledge
ALFGE213O39UM,previous knowledge
A2T6PC4Z0BCZX,previous knowledge
A2ZMJXGA7HLGY2,previous knowledge
A2EBGIJB58YN47,condition_answer answer error
A3524H23YF5DRX,previous knowledge
A382G38I8JZLGZ,treatment answer error
A397H6G777AKDA,previous knowledge
A21YHQ4QQP21PC,previous knowledge
ARJ7XWSK0Y8FJ,previous knowledge
A8R35AUWHX9HH,condition_answer answer error
A366DY2ZFMUB8Z,too quick
A31A2PFANDTFQ5,previous knowledge
A32S2FSWV3TJYG,treatment answer error
A1RUBSQBBOJHPO,previous knowledge
A280U81LOBQL6N,condition_answer answer error
A3FG5J8A7YDVRN,no reason
A24D5B7GFP90PT,previous knowledge
A1NAFXXC41I7NC,previous knowledge
A34MU44DXMS7LJ,previous knowledge
AOWW3URQNRJ6U,treatment answer error
A1NAFXXC41I7NC,previous knowledge
A34MU44DXMS7LJ,previous knowledge
AOWW3URQNRJ6U,treatment answer error
A1NAFXXC41I7NC,previous knowledge
A34MU44DXMS7LJ,previous knowledge
AOWW3URQNRJ6U,treatment answer error
A1NAFXXC41I7NC,previous knowledge
A34MU44DXMS7LJ,previous knowledge
AOWW3URQNRJ6U,treatment answer error
A1NAFXXC41I7NC,previous knowledge
A34MU44DXMS7LJ,previous knowledge
AOWW3URQNRJ6U,treatment answer error
A1E7BJD2B86I1V,previous knowledge
AEQAI1QN1YZG1,condition_answer answer error
AV1OKX807QH9H,previous knowledge
A3MBVZ4O6YJGQ7,previous knowledge
ANWRXKAOV327E,previous knowledge
55,treatment answer error
A15MDLXBTXBTTZ,treatment answer error
A16IQOX0DK14OJ,condition_answer answer error
A1ALMPGY96P2RW,treatment answer error
A1LGOPKEA9SXYS,previous knowledge
A1XAG45QJXRJQL,previous knowledge
A21W69Z63UQP69,previous knowledge
A23BWWRR7J5XLS,treatment answer error
A284MIYRBSSI2J,previous knowledge
A2BZLECTSEKH1P,treatment answer error
A2DRB9BQKCI8LD,previous knowledge
A2MKIXI9X3HJF4,previous knowledge
A2OQ6F2KWTR5QF,previous knowledge
A3398NZQPID9Z8,previous knowledge
A3FYXMCBHCPO6I,treatment answer error
A3IJ2XUN00QDMI,treatment answer error
A3M8M7FBXBRCUM,treatment answer error
A3MBVZ4O6YJGQ7,previous knowledge
A3MBWF1NI6HWLZ,previous knowledge
A3MWKUTGXSNBIW,previous knowledge
A3NY18YZAJC6M6,previous knowledge
AA14UQKGPDG1M,condition_answer answer error
AF726XW4J3BVA,previous knowledge
AH3SU1Z6NFIBY,previous knowledge
AQXSE8R0MDUWN,previous knowledge
ARJ7XWSK0Y8FJ,previous knowledge
AX9UFISP6AMJ3,too quick
A109P4Q539KGV5,treatment answer error
A1C30Y778UL2PS,treatment answer error
A1C8CI0VC8502G,previous knowledge
A1D170UB33MEJX,previous knowledge
A1H48DL2CMYH7U,previous knowledge
A1VMHSAP91K4T1,previous knowledge
A1XAG45QJXRJQL,treatment answer error
A2B69EPUYLDYV8,previous knowledge
A2HBOSV7EU92LA,previous knowledge
A2KW87ZD2ELYNG,previous knowledge
A2MITUUS4DABVN,treatment answer error
A2Z94V60G6K26P,previous knowledge
A32SIPAUECRT6N,previous knowledge
A3EHQHXWQSY9VW,treatment answer error
A3QQZ0DFU22PFA,previous knowledge
A3QRWG1VRXZC0U,treatment answer error
AH798XWCT3UH3,previous knowledge
A2HBOSV7EU92LA,previous knowledge
A3C2KN2GHTDK61,treatment answer error
A3LVGXBH02ZAD4,previous knowledge
AMI0SOF51O3FW,treatment answer error
tets1943,treatment answer error
tets1943,treatment answer error
A16K1GRT5R52CN,previous knowledge
A19YFYE471YG9S,previous knowledge
A1H48DL2CMYH7U,previous knowledge
A1JDM2T6MCDFXE,previous knowledge
A1MHA48INDCY4D,treatment answer error
A1NLC8AX4E9JPE,previous knowledge
A1PVNAXKDIW5K6,previous knowledge
A1UDKBRFNICVTC,too quick
A1YSYI926BBOHW,treatment answer error
A24AWGSJ6PNF6K,too quick
A2I4X1AHQ518T6,previous knowledge
A2IHPAJA7XN8S9,treatment answer error
A2RI0AS0K5VL8G,treatment answer error
A3LVGXBH02ZAD4,previous knowledge
ACUN2QB7I0HQR,treatment answer error
AMI0SOF51O3FW,treatment answer error
AOAMTLMPOJ7P7,treatment answer error
A117WRA7OVY0HF,treatment answer error
A11GICH9QUS4IL,condition_answer answer error
A12V0G1G916DZ8,condition_answer answer error
A12XODWO60X138,treatment answer error
A176JGYEWEDESG,treatment answer error
A1K6ZE1UVDPWH,treatment answer error
A1N2I0G8SSZUZ,too quick
A1XZKWEYA2I1L,condition_answer answer error
A205NXURBJJDM4,previous knowledge
A21W69Z63UQP69,previous knowledge
A25TFWE5RTS5ZY,treatment answer error
A2AS12X0U1L76S,previous knowledge
A2FL29XDW5TVH1,previous knowledge
A2GVKAY7YO312H,previous knowledge
A2JSG2JIAQQNGA,too quick
A2PPRPW1UQXAVH,previous knowledge
A2RI0AS0K5VL8G,treatment answer error
A2XI1J5GW6QV28,treatment answer error
A2XPO2K8FR10SA,treatment answer error
A2Y37OF9LTG4IN,treatment answer error
A2Z94V60G6K26P,previous knowledge
A31I1DSWUE3IN6,too quick
A34WQ0OT0BH5H8,previous knowledge
A3A38LMBZ1O6LT,previous knowledge
A3JGYKW0YD31MG,previous knowledge
A3O9NIH7BH537H,condition_answer answer error
A3SACNWNF16TPT,treatment answer error
A5BO6BN70EU0M,condition_answer answer error
A9UW8KE9S8YSX,treatment answer error
AAFVEPK4CY93O,treatment answer error
AO9TI9E8505Y8,condition_answer answer error
AOCKSSY5E5V12,previous knowledge
AQXSE8R0MDUWN,treatment answer error
ARJ7XWSK0Y8FJ,too quick
ASU5KM7AVG3IY,condition_answer answer error
AYZQACSQ7HRWB,previous knowledge
A165D0NYSO8YA9,previous knowledge
A19YFYE471YG9S,previous knowledge
A1ID3JJXI9VLG4,treatment answer error
A1X7HINAD78EL0,treatment answer error
A3S3WYVCVWW8IZ,no links
A3SU002SMRT617,condition_answer answer error
A3TZUKHOALMSJ2,previous knowledge
A6U2C66WQ7QQN,treatment answer error
A165D0NYSO8YA9,previous knowledge
A182731SRNAI9K,treatment answer error
A18XL4DNNYT01S,treatment answer error
A1TW2BZRRS874Z,previous knowledge
A1X7HINAD78EL0,treatment answer error
A1XLOW0O2LW4VA,condition_answer answer error
A2M53RMJ6G3474,previous knowledge
A2N2IU3MI8IJ1A,treatment answer error
A38DXFI1TZA295,previous knowledge
A3GUC101XY45EO,condition_answer answer error
A3TZUKHOALMSJ2,previous knowledge
ARI1EMAHUA9PO,treatment answer error
tets1610,treatment answer error
      A2AS12X0U1L76S,previous knowledge
A1AOESAIFG8K9Y,previous knowledge
A1G452MFAS690B,too quick
A1Y0K0AX7QQ3R0,previous knowledge
A237PUN7791D62,previous knowledge
A2OVX9UW5WANQE,treatment answer error
A2S4OYIG64MBUX,treatment answer error
A3MHPMHKGJ3O2H,previous knowledge
AUYUDA9CGB8BO,condition_answer answer error
