                   MNLogit Regression Results                   
Dep. Variable:  ,response        ,  No. Observations:  ,   369  
Model:          ,MNLogit         ,  Df Residuals:      ,   273  
Method:         ,MLE             ,  Df Model:          ,    93  
Date:           ,Wed, 26 Jan 2022,  Pseudo R-squ.:     ,0.1490  
Time:           ,21:37:09        ,  Log-Likelihood:    , -365.14
converged:      ,True            ,  LL-Null:           , -429.06
Covariance Type:,nonrobust       ,  LLR p-value:       ,0.009661
 response=N,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
l10_M      ,   21.0677,      nan,      nan,   nan,      nan,      nan
l10_N      ,   -7.0431, 6.18e+13,-1.14e-13, 1.000,-1.21e+14, 1.21e+14
---------------------------------------------------------------------
response=Y,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
l1_A      ,   -1.6361,      nan,      nan,   nan,      nan,      nan
l1_S      ,   -1.0016,      nan,      nan,   nan,      nan,      nan
l1_Y      ,    2.1037, 2.02e+06, 1.04e-06, 1.000,-3.96e+06, 3.96e+06
l1_M      ,   -0.5944,      nan,      nan,   nan,      nan,      nan
l1_N      ,   -0.5829,      nan,      nan,   nan,      nan,      nan
l2_Y      ,   -0.7207, 5.26e+06,-1.37e-07, 1.000,-1.03e+07, 1.03e+07
l2_M      ,    0.4350, 4.93e+06, 8.82e-08, 1.000,-9.66e+06, 9.66e+06
l2_N      ,    0.3004,      nan,      nan,   nan,      nan,      nan
l3_Y      ,    1.0585,      nan,      nan,   nan,      nan,      nan
l3_M      ,   -0.5051, 4.67e+06,-1.08e-07, 1.000,-9.15e+06, 9.15e+06
l3_N      ,   -0.2656,       -0,      inf, 0.000,   -0.266,   -0.266
l4_Y      ,    1.4362,      nan,      nan,   nan,      nan,      nan
l4_M      ,    0.0498,      nan,      nan,   nan,      nan,      nan
l4_N      ,    0.0342,  1.3e+07, 2.64e-09, 1.000,-2.54e+07, 2.54e+07
l5_Y      ,    0.3985,      nan,      nan,   nan,      nan,      nan
l5_M      ,   -0.3996,      nan,      nan,   nan,      nan,      nan
l5_N      ,    0.3510,      nan,      nan,   nan,      nan,      nan
l6_Y      ,   -0.1930,      nan,      nan,   nan,      nan,      nan
l6_M      ,   -1.3979, 1.06e+07,-1.32e-07, 1.000,-2.08e+07, 2.08e+07
l6_N      ,   -1.9925,      nan,      nan,   nan,      nan,      nan
l7_Y      ,    0.7341,      nan,      nan,   nan,      nan,      nan
l7_M      ,    0.0133,      nan,      nan,   nan,      nan,      nan
l7_N      ,    0.2745,      nan,      nan,   nan,      nan,      nan
l8_Y      ,    0.3510, 2.08e+07, 1.69e-08, 1.000,-4.07e+07, 4.07e+07
l8_M      ,   -1.4301,  1.6e+07,-8.92e-08, 1.000,-3.14e+07, 3.14e+07
l8_N      ,   -2.1838, 3.01e+07,-7.26e-08, 1.000,-5.89e+07, 5.89e+07
l9_Y      ,    0.5893,  1.9e+07, 3.09e-08, 1.000,-3.73e+07, 3.73e+07
l9_M      ,    1.0198, 2.21e+07,  4.6e-08, 1.000,-4.34e+07, 4.34e+07
l9_N      ,    1.9238,      nan,      nan,   nan,      nan,      nan
l10_Y     ,    0.8456,      nan,      nan,   nan,      nan,      nan
l10_M     ,    1.8418,      nan,      nan,   nan,      nan,      nan
l10_N     ,    1.2848,      nan,      nan,   nan,      nan,      nan
